statsdate,top_tweet_impressions,top_mention_engagements,tweets,tweet_impressions,profile_visits,mentions,new_followers,top_followed_by,top_media_tweet_impressions
10/01/2022,49,9,0,1049,24,0,-1,317,39
09/01/2022,2123,330,51,11300,4905,47,19,2785,1008
08/01/2022,1225,58,31,6780,1822,26,4,700,240
07/01/2002,1743,18,25,5670,1161,26,3,300,669
06/01/2022,2338,34,31,12000,1310,21,0,487,1582
05/01/2022,12900,77,40,28500,4260,36,43,13800,4596
04/01/2022,6157,149,65,19900,4702,38,68,2785,945
03/01/2022,16900,268,43,30500,2834,33,21,456,1945
02/01/2022,1107,9,24,5801,765,25,7,3267,771
01/01/2022,1155,51,8,2971,2020,15,31,13400,492
