#  ,,
# Start date: 20220501,,
# End date: 20221010,,
Nth day,Views,viewdate
0,0,2022-05-01
1,0,2022-05-02
2,0,2022-05-03
3,0,2022-05-04
4,0,2022-05-05
5,0,2022-05-06
6,0,2022-05-07
7,0,2022-05-08
8,0,2022-05-09
9,0,2022-05-10
10,0,2022-05-11
11,6,2022-05-12
12,9,2022-05-13
13,8,2022-05-14
14,4,2022-05-15
15,28,2022-05-16
16,16,2022-05-17
17,9,2022-05-18
18,4,2022-05-19
19,8,2022-05-20
20,0,2022-05-21
21,1,2022-05-22
22,16,2022-05-23
23,12,2022-05-24
24,15,2022-05-25
25,5,2022-05-26
26,76,2022-05-27
27,21,2022-05-28
28,0,2022-05-29
29,4,2022-05-30
30,28,2022-05-31
31,7,2022-06-01
32,10,2022-06-02
33,5,2022-06-03
34,2,2022-06-04
35,2,2022-06-05
36,20,2022-06-06
37,51,2022-06-07
38,29,2022-06-08
39,13,2022-06-09
40,4,2022-06-10
41,5,2022-06-11
42,1,2022-06-12
43,2,2022-06-13
44,4,2022-06-14
45,10,2022-06-15
46,10,2022-06-16
47,16,2022-06-17
48,3,2022-06-18
49,1,2022-06-19
50,3,2022-06-20
51,2,2022-06-21
52,2,2022-06-22
53,12,2022-06-23
54,4,2022-06-24
55,1,2022-06-25
56,1,2022-06-26
57,8,2022-06-27
58,3,2022-06-28
59,4,2022-06-29
60,0,2022-06-30
61,6,2022-07-01
62,0,2022-07-02
63,0,2022-07-03
64,4,2022-07-04
65,0,2022-07-05
66,0,2022-07-06
67,2,2022-07-07
68,0,2022-07-08
69,0,2022-07-09
70,1,2022-07-10
71,7,2022-07-11
72,0,2022-07-12
73,0,2022-07-13
74,1,2022-07-14
75,1,2022-07-15
76,1,2022-07-16
77,0,2022-07-17
78,2,2022-07-18
79,0,2022-07-19
80,0,2022-07-20
81,0,2022-07-21
82,0,2022-07-22
83,17,2022-07-23
84,0,2022-07-24
85,1,2022-07-25
86,0,2022-07-26
87,1,2022-07-27
88,6,2022-07-28
89,1,2022-07-29
90,0,2022-07-30
91,0,2022-07-31
92,1,2022-08-01
93,0,2022-08-02
94,2,2022-08-03
95,2,2022-08-04
96,3,2022-08-05
97,1,2022-08-06
98,1,2022-08-07
99,0,2022-08-08
100,4,2022-08-09
101,1,2022-08-10
102,5,2022-08-11
103,2,2022-08-12
104,1,2022-08-13
105,2,2022-08-14
106,0,2022-08-15
107,5,2022-08-16
108,1,2022-08-17
109,0,2022-08-18
110,0,2022-08-19
111,1,2022-08-20
112,3,2022-08-21
113,8,2022-08-22
114,1,2022-08-23
115,1,2022-08-24
116,0,2022-08-25
117,1,2022-08-26
118,2,2022-08-27
119,0,2022-08-28
120,2,2022-08-29
121,0,2022-08-30
122,2,2022-08-31
123,22,2022-09-01
124,22,2022-09-02
125,8,2022-09-03
126,3,2022-09-04
127,2,2022-09-05
128,6,2022-09-06
129,1,2022-09-07
130,2,2022-09-08
131,3,2022-09-09
132,4,2022-09-10
133,0,2022-09-11
134,3,2022-09-12
135,2,2022-09-13
136,5,2022-09-14
137,2,2022-09-15
138,0,2022-09-16
139,1,2022-09-17
140,1,2022-09-18
141,5,2022-09-19
142,1,2022-09-20
143,0,2022-09-21
144,1,2022-09-22
145,11,2022-09-23
146,9,2022-09-24
147,2,2022-09-25
148,5,2022-09-26
149,5,2022-09-27
150,11,2022-09-28
151,6,2022-09-29
152,2,2022-09-30
153,1,2022-10-01
154,2,2022-10-02
155,4,2022-10-03
156,23,2022-10-04
157,3,2022-10-05
158,6,2022-10-06
159,1,2022-10-07
160,1,2022-10-08
161,2,2022-10-09
162,2,2022-10-10
